Country Name;Country Code;Population;Average;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
"Macao SAR; China";MAC;555731;23059.9930489837;8312.77648298232;9377.56972998067;12123.1955423973;13707.9805053813;14974.3714327306;16466.476211337;16374.49280367;16237.8126376128;14820.2131770313;13945.4833580864;14128.8751835296;14796.2510945531;15591.6865546435;17251.2895913846;21820.3261653534;24493.3409408931;29533.3523348281;35715.6301238028;39978.3638549949;40120.9533181449;51998.907834467;65550.4981998362
Portugal;PRT;10637000;14716.0020635379;7779.43572051611;8832.69313012402;10647.6731547062;9390.57852798562;9831.86526678844;11619.32898193;12045.7814981627;11461.7016265796;12129.0802716575;12428.6724908551;11470.8979211038;11690.6725179817;12758.5428812628;15509.1253830908;17653.5739797249;18185.6240235086;19064.9886697194;21845.2352610114;23716.3904171952;22015.9151038699;21358.4265928936;22315.8419771657
Saudi Arabia;SAU;28082541;10806.4044419445;7235.74747413979;7878.69075248764;7929.69600814202;7474.74539092161;7414.02662745881;7703.81112624535;8396.63609271649;8674.46454518814;7569.99826867073;8220.93547341019;9400.81168623803;8849.04846911086;8784.91188954374;9607.29093288546;10784.0719402988;13126.6804989791;14380.5867434828;15091.2988501322;18202.7504564113;14050.9477408266;16423.4402355049;20540.3065199834
Malta;MLT;419000;12574.4607912635;7192.394285355;7688.02750707283;8365.01309952099;7428.47560128869;8149.41632429728;9717.50193818825;9852.31001075917;9683.14540797466;10091.2797969916;10301.4232851886;10377.0373182486;9967.79040659294;10849.7502791421;12844.5879877177;14064.2295970135;14809.9251820438;15723.4197903053;18368.9883867668;20765.3689211961;19564.1957457439;19624.8538073839;21209.0027290045
Libya;LBY;6422772;7394.56335649446;6668.62879951995;7235.08932782214;7513.80783226377;6667.21579638272;6104.09701924141;5348.96985254809;5734.4306845352;6200.8536881418;5405.72802915262;5937.37362419028;6479.7125224821;5330.83175067858;3651.35256509713;4342.5790940437;5905.85782305917;7626.03451924525;9583.79469871243;11921.4090741896;15150.1559223747;9957.4904063992;9957.4904063992;9957.4904063992
Barbados;BRB;273925;9651.13191498143;6591.24986265714;6480.35714272765;6083.03706880706;6266.97582633173;6575.39771803791;7057.83169366134;7504.23489689461;8270.32205516011;8891.22127317373;9253.34382818952;9565.4012283607;9523.72603809636;9211.2577283352;10003.6739343901;10461.3127762116;11108.9340968492;11771.8455556293;12551.4509347687;13484.515072746;13181.3415673694;15034.8844441355;13452.5873870585
Gabon;GAB;1534262;5821.46944006378;6406.90189694016;5630.20555631167;5641.53423742271;4277.97993516336;3969.68036281748;4560.58356781469;5092.07978778078;4638.40377645523;3806.16375855561;3863.73238537859;4102.62460215775;3730.98469293341;3821.29527695513;4595.79256528545;5340.19526271748;6321.9911576618;6832.26271986967;8127.67641763104;10021.873423849;7408.65197823306;8767.8258514092;11113.8884680599
Antigua and Barbuda;ATG;89612;10020.8195243311;6295.1410477957;6539.6452723163;6641.8443854274;6998.02297814735;7475.72882961358;7199.45788743644;7680.25666850446;8017.64096346129;8357.4203293562;8578.6910619166;10143.3680764924;9831.51085092884;10017.8353966129;10392.5149773712;10926.3111921296;11940.1657023968;13436.0384643046;15079.1213859324;15591.6329837278;13829.8307808731;13006.3009180977;12479.5493824405
Oman;OMN;2846145;10868.2531124997;6255.19356113543;5824.98093968056;6129.96789285482;5911.38443439834;5918.96971997339;6183.91110846788;6763.87326849908;6987.72027380089;6224.28908337206;6953.24521845231;8774.9338498471;8752.86890490215;8706.25791340082;9221.98937418854;10374.3130825574;12720.7016108521;14776.8994824584;16360.0591010611;22968.4567357432;17280.0972352585;20790.837957668;25220.6177264217
"Korea; Rep.";KOR;49779000;13222.2253349363;6153.09399680685;7122.70133237179;7555.2725269408;8219.89619903242;9525.43562988743;11467.8138477768;12249.1731451653;11234.7769967835;7462.83864531817;9554.4394429295;11346.6649874203;10654.9355534291;12093.7572968478;13451.2294176853;15028.9401491226;17550.8538854009;19676.1241830999;21590.1055843238;19028.0129314516;16958.6523899186;20540.1769251395;22424.0623017466
